statistics,Overall,Neutral,firstfive,afterfive
relevant,1.7660944206008584,0.0178826895565093,2.1943231441048034,1.5574468085106383
accurate,1.6430615164520743,0.022889842632331903,1.9694323144104804,1.4840425531914894
correct,0.7846924177396281,N/A,0.665938864628821,0.8425531914893617
numtillcor,0.23518687329079307,N/A,0.4459016393442623,0.15404040404040403
complete,4.237482117310443,0.02575107296137339,3.8231441048034935,4.43936170212766
concise,4.462804005722461,0.04220314735336195,4.137554585152839,4.621276595744681
