statistics,Overall,Neutral,firstfive,afterfive
relevant,0.8054363376251789,0.0178826895565093,0.7008733624454149,0.8563829787234043
accurate,0.8347639484978541,0.022889842632331903,0.7510917030567685,0.875531914893617
correct,0.7846924177396281,N/A,0.665938864628821,0.8425531914893617
numtillcor,0.23518687329079307,N/A,0.4459016393442623,0.15404040404040403
complete,0.801859799713877,0.02575107296137339,0.6965065502183406,0.8531914893617021
concise,0.8612303290414879,0.04220314735336195,0.777292576419214,0.902127659574468
