subject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
jack545,"[3, 0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 3]","[0, 0, 0, 5]","[0, 0, 2]","[0, 0, 1]","[0, 0, 0]","[0, 4, 0]","[0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0]","[0, 0]","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
olha,"[0, 0, 0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 0]","[0, 2]","[0, 0, 0]","[0, 0, 0]",[0],"[1, 0]","[0, 0, 0]","[0, 0, 0]",[0],"[1, 0]","[0, 0, 0]","[0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0]"
ndemirci,"[0, 0, 0, 1]","[0, 0, 0, 1, 0]","[0, 1, 1, 2]","[0, 1, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0]",[1],"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0]","[0, 0, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
juhsis,"[0, 1, 0]","[2, 0, 0]","[2, 3, 0, 0]","[0, 1, 0]","[0, 0, 1]","[0, 0]","[0, 0, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]"
tchuanro,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0]","[0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
abulfazhajizada,"[0, 0, 0]","[1, 0]","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[1, 0]","[0, 0, 1]","[0, 1]","[0, 0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 0, 0]","[0, 0, 0]","[1, 0]","[0, 0, 0]","[0, 0, 0]"
ugurbyrm,"[1, 1, 2, 0, 0]","[0, 0, 0, 0]","[1, 1, 0]","[0, 0, 0]","[0, 0]","[0, 0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0]","[0, 0]"
xzhong3,"[2, 0, 0]","[1, 2, 4]","[0, 0, 0, 0]","[0, 0, 0]","[1, 0, 0]","[0, 0, 2]","[1, 0, 0]","[0, 0, 0]","[1, 0, 1]","[0, 0, 0]","[0, 0, 1]","[0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
mrashid,"[2, 0]","[0, 0, 7]","[0, 1, 0]","[0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 0, 1]","[0, 0, 0]","[0, 1, 0]","[0, 0, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
maheshwari,"[0, 3, 0]","[1, 0, 6]","[1, 0, 0]","[0, 0, 2]","[0, 1, 0]","[1, 0, 0]","[0, 0, 1]","[1, 1, 0, 0]","[0, 2, 2]","[0, 0, 0, 0]"
cozma_92,"[3, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0]","[0, 2, 0]","[0, 0, 0]","[0, 1, 0]"
ldecamora,"[2, 0, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 0]","[2, 3, 0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 2]"
seph1603,"[1, 0]","[2, 0]","[1, 0, 0]","[1, 0, 1]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
contact,[2],"[0, 0, 0]","[0, 0, 0, 2]","[0, 0, 0]","[0, 0, 0]","[2, 3, 0]","[0, 1]","[1, 0, 0, 2]","[1, 1, 2]","[1, 0, 1]"
romulodiniz,"[0, 0, 1]","[0, 2, 2, 1]","[0, 0, 0]","[1, 4, 0]","[0, 1, 0]","[3, 0, 0]","[0, 1, 2]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
seiumiut,"[0, 2, 0]","[0, 0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]",[],"[0, 0, 0]","[0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
slymntkn34,[1],"[0, 0, 0]","[0, 0, 1]","[0, 0, 0, 0]","[0, 0, 0]","[0, 3]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0, 0]","[0, 0, 0]"
tuj80000,"[0, 1, 0]","[0, 0, 0]","[0, 0, 0, 2]","[1, 3]","[2, 1, 0]","[0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[3, 1, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
agoswam2,"[1, 0, 1]","[0, 0, 0]","[3, 0, 1]","[0, 1, 1]","[1, 1, 1]","[0, 0, 0]","[0, 1, 0]","[3, 0, 0]","[0, 0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 0, 1]"
nasi,"[0, 0, 0, 0]",[0],"[0, 0, 0]","[0, 0, 0]","[0, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]",[2],"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0]","[0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1]","[0, 0, 0]","[0, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1]","[0, 0, 0, 0]","[2, 0]"
